Metric,Timestamp,Value
Available Memory Bytes,2023-06-01 02:44:00+00:00,3485466624
Available Memory Bytes,2023-06-01 02:45:00+00:00,3487563776
Available Memory Bytes,2023-06-01 02:46:00+00:00,3487039488
Available Memory Bytes,2023-06-01 02:47:00+00:00,3486515200
Available Memory Bytes,2023-06-01 02:48:00+00:00,3487039488
Available Memory Bytes,2023-06-01 02:49:00+00:00,3488088064
Available Memory Bytes,2023-06-01 02:50:00+00:00,3490709504
Available Memory Bytes,2023-06-01 02:51:00+00:00,3491758080
Available Memory Bytes,2023-06-01 02:52:00+00:00,3491233792
Available Memory Bytes,2023-06-01 02:53:00+00:00,3491758080
Available Memory Bytes,2023-06-01 02:54:00+00:00,3491758080
Available Memory Bytes,2023-06-01 02:55:00+00:00,3491758080
Available Memory Bytes,2023-06-01 02:56:00+00:00,3492806656
Available Memory Bytes,2023-06-01 02:57:00+00:00,3493855232
Available Memory Bytes,2023-06-01 02:58:00+00:00,
Available Memory Bytes,2023-06-01 02:59:00+00:00,
